datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:131:21:08:23.537 2010:131:22:56:47.548 56268 WSVIDALLDN TE_0021C NPNT      0         0        6         6         -99616 -536      155.39 205.00 -30.00 294.03 0.10  0.56  -0.76 0.31 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:22:56:47.548 2010:131:22:56:57.799 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      155.39 205.00 -30.00 294.03 0.10  0.56  -0.76 0.31 obsid,pcad_mode                                 
2010:131:22:56:57.799 2010:131:23:02:04.309 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      152.95 205.00 -30.00 294.03 0.10  0.56  -0.76 0.31 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:23:02:04.309 2010:131:23:07:10.820 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      142.33 199.74 -31.61 291.16 0.13  0.57  -0.76 0.29 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:23:07:10.820 2010:131:23:12:17.330 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      122.66 180.47 -35.22 279.89 0.23  0.61  -0.73 0.20 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:23:12:17.330 2010:131:23:17:23.840 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      103.00 152.47 -34.55 262.85 0.36  0.65  -0.67 0.07 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:23:17:23.840 2010:131:23:22:30.351 56267 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      92.38  133.69 -30.11 252.14 -0.45 -0.66 0.61  0.03 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:23:22:30.351 2010:132:00:44:57.596 56267 WSVIDALLDN TE_0021C NPNT      0         0        6         6         -99616 -536      89.98  128.60 -28.30 249.49 -0.47 -0.66 0.59  0.06 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:132:00:44:57.596 2010:132:00:45:07.847 56266 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      89.98  128.60 -28.30 249.49 -0.47 -0.66 0.59  0.06 obsid,pcad_mode                                 
2010:132:00:45:07.847 2010:132:00:50:14.328 56266 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      92.34  128.60 -28.30 249.49 -0.47 -0.66 0.59  0.06 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:132:00:50:14.328 2010:132:00:55:20.809 56266 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      102.95 133.69 -30.10 252.12 -0.45 -0.66 0.61  0.03 dec,pitch,q1,q2,q3,q4,ra,roll                   
